PLAYER,POS,MPG,FG.,FT.,X3PM,PTS,TREB,AST,STL,BLK,TO,PUNT_FG,PUNT_FT,PUNT_3PM,PUNT_PTS,PUNT_AST,PUNT_STL,PUNT_BLK,PUNT_TO
Dillon Brooks,"SG,SF",28.5,0.4,0.81,2,15.7,3.3,2,0.9,0.4,1.7,1,0,0,0,1,0,1,0
Taurean Prince,"SF,PF",29,0.37,0.79,2.3,12.1,6,1.8,0.9,0.4,2,1,0,0,0,1,0,1,0
Tyler Herro ,"SG,SF",27.2,0.42,0.82,2.1,12.9,4,1.9,0.6,0.1,1.5,1,0,0,0,1,0,1,0
Coby White,PG,25.8,0.39,0.8,2,13.2,3.6,2.7,0.8,0.1,1.7,1,0,0,0,0,0,1,0
Eric Bledsoe ,"PG,SG",27.2,0.48,0.82,1.3,15.4,4.7,5.4,0.9,0.4,2.5,0,0,0,0,0,0,1,1
Malcolm Brogdon ,"PG,SG",30.7,0.43,0.88,1.3,16.3,4.7,7.1,0.7,0.2,2.4,0,0,0,0,0,0,1,1
Derrick Rose ,"PG,SG",26,0.49,0.86,0.9,18.1,2.4,5.6,0.8,0.3,2.5,0,0,1,0,0,0,1,1
Lou Williams ,"PG,SG",29.3,0.41,0.85,1.8,18.6,3.1,5.7,0.7,0.2,2.9,0,0,0,0,0,0,1,1
Tomas Satoransky,"PG,SG",28.9,0.42,0.84,1,9.9,3.9,5.4,1.2,0.1,2,0,0,1,1,0,0,1,1
Joe Ingles,"SG,SF",29.9,0.44,0.77,1.9,9.8,4,5.2,0.9,0.1,1.9,0,0,0,1,0,0,1,0
Goran Dragic,"PG,SG",28.4,0.44,0.76,2.2,16.1,3.1,5.1,0.6,0.1,2.5,0,0,0,0,0,0,1,1
Caris LeVert,"SG,SF",29,0.42,0.73,1.8,17.7,4.1,4.1,1.1,0.2,2.5,0,1,0,0,0,0,1,1
Jeff Teague,PG,24.8,0.43,0.88,0.7,10.9,2.4,5.2,0.7,0.3,2,0,0,1,0,0,0,1,1
Jonathan Isaac ,"SF,PF",29.7,0.47,0.78,0.9,12,6.9,1.4,1.6,2.4,1.5,0,0,1,0,1,0,0,0
Kristaps Porzingis,"PF,C",31.3,0.42,0.78,2.5,19.2,9.5,1.7,0.7,2.1,1.6,1,0,0,0,0,0,0,0
LaMarcus Aldridge,"PF,C",33.1,0.49,0.83,1.2,18.9,7.4,2.4,0.7,1.6,1.4,0,0,0,0,0,0,0,0
Myles Turner,"PF,C",29.6,0.45,0.77,1.4,11.8,6.6,1.1,0.8,2.2,1.2,0,0,0,0,1,0,0,0
Jaren Jackson Jr. ,"PF,C",28,0.47,0.74,2.5,16.9,4.7,1.4,0.6,1.6,1.7,0,0,0,0,1,1,0,0
Serge Ibaka,"PF,C",27.5,0.52,0.75,1.3,16,8.3,1.5,0.5,0.8,2,0,0,0,0,1,1,0,0
John Collins ,"PF,C",33.2,0.58,0.78,1.4,21.6,10.1,1.5,0.8,1.6,1.8,0,0,0,0,1,0,0,0
Deandre Ayton ,C,33.2,0.55,0.77,0,19,12,1.9,0.7,1.7,2.4,0,0,1,0,1,0,0,1
Bam Adebayo,"PF,C",34.4,0.57,0.68,0,16.2,10.5,5.1,1.2,1.3,2.8,0,1,1,0,0,0,0,1
Domantas Sabonis,"PF,C",34.8,0.54,0.73,0.3,18.5,12.4,5,0.7,0.5,2.8,0,1,1,0,0,0,0,1
Zion Williamson,PF,29.7,0.59,0.65,0.3,23.6,6.8,2.2,0.8,0.5,2.7,0,1,1,0,1,0,0,1
Anthony Davis,"PF,C",34.3,0.51,0.84,1.2,26.7,9.4,3.1,1.5,2.4,2.5,0,0,0,0,0,0,0,1
Karl-Anthony Towns ,C,33.9,0.51,0.78,3.3,26.5,10.8,4.4,0.9,1.2,3.1,0,0,0,0,0,0,0,1
Joel Embiid ,"PF,C",30.2,0.47,0.82,1.3,23.4,11.8,3.1,0.8,1.3,3.1,0,0,0,0,0,0,0,1
